enum_name,location,dist_lab,reg_lab,loc_lab,fms_lab,state_lab,school_name,cluster_id,uniqueid,consent,location_resp,neighborhood,gender,age,income_band,income_mid,mch_funder,mch_funder_rand,mch_time,hc_pref,hc_pref_rand,school_pref,school_pref_rand,income10pct,income5pct,willing_insurance10,willing_insurance5,trust_dist,trust_dist_rand,trust_fms,trust_fms_rand,trust_fgs,trust_fgs_rand,support_rem,support_closefam,support_clan,support_aid,amount_rem,amount_closefam,amount_clan,amount_aid,tax_willing,tax_willing_rand,clan_tax,clan_tax_freq,clan_tax_freq_oth,clan_tax_amt,clan_tax_allmen,clan_tax_female,clan_tax_female_rand,csupp_subclan,csupp_subclan_rand,csupp_connection,csupp_connection_rand,csupp_need,csupp_need_rand,csupp_severity,csupp_severity_rand,csupp_fundsavail,csupp_fundsavail_rand,csupp_age,csupp_age_rand,csupp_gender,csupp_gender_rand,support_timing,csupp_likely,csupp_likely_rand,trust_dc,trust_dc_rand,trust_hir,trust_hir_rand,trust_gal,trust_gal_rand,trust_punt,trust_punt_rand,trust_sws,trust_sws_rand,trust_fgspres,trust_fgspres_rand,trust_imam,trust_imam_rand,trust_aqil,trust_aqil_rand,hh_size,born_district,born_district_oth,years_moved_dist,clan_family,clan,clan_oth,subclan,subclan_oth
15,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2130,ADA2130_30_1,1,1,Baatin,1,17,1,25,5,0,6,2,1,1,0,2.5,1.25,0,,1,0,1,0,1,0,0,0,0,1,,,,55,2,0,0,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,1,0,1,0,,,1,0,,,,,1,0,1,0,1,0,10,997,Muqdisho,5,3,316,,,
6,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2130,ADA2130_32_1,1,1,Waaberi,0,38,6,750,99,1,1,2,1,1,1,75,37.5,0,,1,0,1,0,2,0,0,0,0,0,,,,,1,0,0,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5,2,0,3,0,,,3,0,,,,,1,0,1,0,2,0,12,1,,,3,307,,30708,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2136,ADA2136_2_1,1,1,Bakiin,1,23,4,250,99,1,2,2,1,1,1,25,12.5,0,,1,1,1,1,2,1,1,0,0,0,200,,,,3,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,2,0,,,1,0,,,,,1,0,1,0,1,0,7,1,,,3,307,,30712,
9,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2139,ADA2139_9_1,1,1,Buushashka,1,38,1,25,4,1,3,2,1,2,1,2.5,1.25,1,,1,0,1,0,2,0,0,0,0,1,,,,100,1,1,0,,,,,,,0,1,1,1,1,1,0,1,0,1,1,1,0,1,3,3,0,1,0,,,2,0,,,,,1,0,2,0,2,0,9,997,Baxdo,3,3,307,,30703,
1,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2141,ADA2141_11_1,1,1,Wabari,1,45,3,150,99,1,5,2,1,1,1,15,7.5,1,,1,0,1,0,1,0,0,0,0,0,,,,,1,1,0,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,3,1,,,3,1,,,,,1,1,1,1,3,1,8,1,,,3,307,,30705,
7,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2160,ADA2160_23_1,1,1,Karaamo,1,35,2,75,5,1,2,2,0,1,0,7.5,3.75,0,,1,1,1,1,1,1,0,0,0,1,,,,20,1,1,0,,,,,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,2,1,1,0,,,1,0,,,,,2,0,1,0,1,0,10,1,,,7,711,,,
3,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2161,ADA2161_1_2,1,1,Karaama,1,34,2,75,2,0,3,2,1,1,1,7.5,3.75,1,,1,1,1,1,2,1,0,0,0,1,,,,20,1,0,0,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,1,1,6,1,0,1,0,,,1,0,,,,,1,0,1,0,1,0,9,1,,,3,307,,30713,
3,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2161,ADA2161_24_1,1,1,Bakiin,1,30,3,150,5,0,2,1,0,1,1,15,7.5,1,,2,1,2,1,2,1,0,1,0,1,,100,,90,1,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,3,1,,,2,1,,,,,3,1,2,1,2,1,9,1,,,3,307,,30712,
12,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2162,ADA2162_15_1,1,1,Xafada galbeed,1,50,3,150,4,1,2,2,0,1,0,15,7.5,1,,1,1,1,1,1,1,0,1,0,0,,70,,,1,1,0,,,,,,,0,0,0,0,1,0,1,0,0,0,1,0,1,0,6,3,0,1,1,,,1,1,,,,,1,1,1,1,3,1,14,997,Caabud waaq,5,1,105,,,
20,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2162,ADA2162_3_1,1,1,Xaafada karaama,1,60,1,25,4,0,1,2,0,1,1,2.5,1.25,1,,1,0,1,0,1,0,0,1,1,0,,100,0,,1,0,1,1,,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,0,,,1,0,,,,,1,0,1,0,1,0,14,1,,,3,307,,30712,
17,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3101,ADA3101_27_1,1,1,Bakiil,1,43,1,25,1,0,5,2,0,1,1,2.5,1.25,1,,1,1,1,1,1,1,0,0,0,0,,,,,2,0,1,2,,5,1,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,0,,,1,0,,,,,1,0,1,0,1,0,12,1,,,4,405,,,
9,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3101,ADA3101_9_1,1,1,Bakiil,0,22,3,150,6,0,2,1,0,3,1,15,7.5,0,,3,0,2,0,2,0,0,0,0,1,,,,150,1,1,1,2,,50,0,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,6,2,0,3,1,,,3,1,,,,,2,1,1,1,3,1,9,169,,5,3,307,,30705,
20,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3101,ADA3101_9_2,1,1,Bakiin,0,25,6,750,5,1,4,1,0,2,0,75,37.5,1,,1,0,2,0,3,0,0,0,0,0,,,,,1,1,1,97,Taas ma sheegi karo,0,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,2,1,1,0,,,1,0,,,,,1,0,1,0,2,0,5,1,,,3,307,,30712,
7,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3102,ADA3102_12_1,1,1,Xaafada galbeed,0,30,2,75,5,0,2,2,0,1,1,7.5,3.75,1,,1,0,2,0,2,0,0,1,0,1,,0,,0,2,1,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,2,1,2,0,,,2,0,,,,,2,0,1,0,2,0,5,1,,,99,,,,
20,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3102,ADA3102_14_1,1,1,Tuulada baabul harti,1,25,2,75,1,1,6,2,0,2,0,7.5,3.75,0,,1,0,1,0,1,0,1,1,1,0,100,100,0,,1,0,0,,,,,,,1,1,0,1,1,1,1,1,1,1,0,1,1,1,6,1,0,1,0,,,1,0,,,,,1,0,1,0,1,0,3,1,,,3,307,,30710,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3103,ADA3103_19_3,1,1,Galbeedka,1,40,1,25,4,1,2,2,0,1,1,2.5,1.25,0,,3,1,3,1,1,1,0,0,0,1,,,,50,1,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,2,0,1,0,,,3,0,,,,,1,0,1,0,3,0,10,1,,,3,307,,30712,
